iter	Passed	Remaining
300	95365	63049
301	95663	62719
302	95959	62389
303	96255	62059
304	96557	61733
305	96833	61391
306	97135	61065
307	97481	60767
308	97736	60412
309	98026	60080
310	98302	59740
311	98608	59417
312	98902	59088
313	99167	58742
314	99455	58410
315	99750	58082
316	100039	57751
317	100358	57437
318	100718	57147
319	100955	56787
320	101237	56453
321	101541	56131
322	101787	55778
323	102081	55451
324	102450	55165
325	102777	54856
326	103106	54548
327	103398	54221
328	103688	53892
329	103983	53567
330	104280	53243
331	104550	52905
332	104790	52552
333	105190	52280
334	105564	51994
335	105878	51678
336	106188	51361
337	106508	51048
338	106871	50755
339	107180	50437
340	107482	50116
341	107728	49769
342	108029	49447
343	108401	49158
344	108695	48834
345	108991	48510
346	109286	48186
347	109608	47874
348	109898	47549
349	110193	47225
350	110451	46886
351	110809	46590
352	111099	46265
353	111340	45920
354	111604	45584
355	111949	45282
356	112329	44994
357	112626	44673
358	112954	44363
359	113301	44061
360	113601	43741
361	113939	43435
362	114230	43111
363	114517	42786
364	114781	42453
365	115059	42125
366	115430	41831
367	115711	41505
368	115992	41178
369	116265	40849
370	116532	40519
371	116841	40203
372	117135	39882
373	117435	39563
374	117739	39246
375	118046	38930
376	118329	38606
377	118597	38277
378	118862	37948
379	119189	37638
380	119474	37316
381	119796	37005
382	120090	36685
383	120449	36385
384	120767	36073
385	121044	35748
386	121375	35440
387	121708	35132
388	122016	34817
389	122316	34499
390	122580	34171
391	122837	33843
392	123143	33527
393	123416	33203
394	123663	32872
395	123983	32561
396	124257	32238
397	124585	31928
